tmdb_id,movement,title,year
346,japanese-golden-age,"Seven Samurai",1954
31217,japanese-golden-age,"The Human Condition I: No Greater Love",1959
14537,japanese-golden-age,"Harakiri",1962
30959,japanese-golden-age,"Kwaidan",1965
3112,film-noir,"The Night of the Hunter",1955
16520,hollywood-musical,"The King and I",1956
46592,soviet-thaw,"Ballad of a Soldier",1959
391,spaghetti-western,"A Fistful of Dollars",1964
429,spaghetti-western,"The Good, the Bad and the Ugly",1966
335,spaghetti-western,"Once Upon a Time in the West",1968
2786,french-new-wave,"Pierrot le Fou",1965
18352,czechoslovak-new-wave,"The Cremator",1969
3116,new-hollywood,"Midnight Cowboy",1969
238,new-hollywood,"The Godfather",1972
9552,new-hollywood,"The Exorcist",1973
11577,new-hollywood,"Pat Garrett & Billy the Kid",1973
578,new-hollywood,"Jaws",1975
103,new-hollywood,"Taxi Driver",1976
28,new-hollywood,"Apocalypse Now",1979
2000,new-german-cinema,"Aguirre, the Wrath of God",1972
9343,new-german-cinema,"Fitzcarraldo",1982
655,new-german-cinema,"Paris, Texas",1984
11906,giallo,"Suspiria",1977
1398,soviet-poetic-cinema,"Stalker",1979
42164,cinema-of-moral-anxiety,"Camera Buff",1979
18919,surrealism,"Faust",1994
11104,hong-kong-new-wave,"Chungking Express",1994
843,hong-kong-new-wave,"In the Mood for Love",2000
79,fifth-generation,"Hero",2002
21531,korean-new-wave,"Barking Dogs Never Bite",2000
11423,korean-new-wave,"Memories of Murder",2003
4552,korean-new-wave,"A Tale of Two Sisters",2003
1255,korean-new-wave,"The Host",2006
30018,korean-new-wave,"Mother",2009
110415,korean-new-wave,"Snowpiercer",2013
496243,korean-new-wave,"Parasite",2019
293670,korean-new-wave,"The Wailing",2016
639988,korean-new-wave,"No Other Choice",2025
101,cinema-du-look,"Léon: The Professional",1994
406,banlieue-cinema,"La Haine",1995
793,american-independent,"Blue Velvet",1986
680,american-independent,"Pulp Fiction",1994
8052,american-independent,"Hard Eight",1997
4995,american-independent,"Boogie Nights",1997
334,american-independent,"Magnolia",1999
226,american-independent,"Boys Don't Cry",1999
2667,american-independent,"The Blair Witch Project",1999
134,american-independent,"O Brother, Where Art Thou?",2000
1359,american-independent,"American Psycho",2000
141,american-independent,"Donnie Darko",2001
1018,american-independent,"Mulholland Drive",2001
8051,american-independent,"Punch-Drunk Love",2002
153,american-independent,"Lost in Translation",2003
38,american-independent,"Eternal Sunshine of the Spotless Mind",2004
