from_tmdb_id,to_tmdb_id,from_title,to_title,rationale
389,780,"12 Angry Men","The Passion of Joan of Arc","An entire film in faces, which is what 12 Angry Men does eighty years later."
62,26317,"2001: A Space Odyssey","Man with a Movie Camera","Pure cinema with no story, which is what 2001's last act is reaching for."
391,9028,"A Fistful of Dollars","The Great Silence","Corbucci's snowbound western, the bleakest thing the genre made."
391,11878,"A Fistful of Dollars","Yojimbo","Leone remade this without asking. You have the copy."
2000,11710,"Aguirre, the Wrath of God","The Enigma of Kaspar Hauser","More Herzog, and the strangest of the fiction films."
149,16672,"Akira","Woman in the Dunes","Teshigahara's Japan is the arthouse tradition Otomo's generation grew up inside."
279,39387,"Amadeus","Loves of a Blonde","Forman before Hollywood, in a Czech New Wave you have barely touched."
279,38442,"Amadeus","The Firemen's Ball","The Forman that got him banned and then got him out."
15916,1556,"Angel's Egg","Funeral Parade of Roses","Matsumoto's Tokyo, which Kubrick raided for A Clockwork Orange."
15916,26302,"Angel's Egg","The Color of Pomegranates","Paradjanov builds films out of tableaux and refuses to explain any of them. Oshii’s closest ancestor."
15916,38368,"Angel's Egg","Uncle Boonmee Who Can Recall His Past Lives","Apichatpong’s ghosts wander in exactly the way Oshii’s do."
28,5055,"Apocalypse Now","Ashes and Diamonds","Wajda's war films are the European end of this tradition."
28,643,"Apocalypse Now","Battleship Potemkin","The montage everybody quotes and almost nobody has actually sat through."
28,25237,"Apocalypse Now","Come and See","The other film that puts you inside a war rather than making one about it."
46592,32015,"Ballad of a Soldier","I Am Cuba","Kalatozov again, and one of the most astonishing things ever filmed."
46592,38360,"Ballad of a Soldier","The Cranes Are Flying","Kalatozov, and the most beautiful camera work of the Soviet Thaw."
44214,11481,"Black Swan","Repulsion","Polanski's apartment horror grammar is all over Aronofsky."
44214,234,"Black Swan","The Cabinet of Dr. Caligari","The original unreliable narrator, and the look psychological horror still borrows."
44214,19542,"Black Swan","The Red Shoes","Powell and Pressburger’s ballet film is the direct ancestor, obsession and all."
78,8072,"Blade Runner","Alphaville","Godard shoots a future city by pointing a camera at Paris at night. The same trick, sixteen years earlier."
78,19,"Blade Runner","Metropolis","Half of what you love about Blade Runner's city was built in 1927."
78,910,"Blade Runner","The Big Sleep","Deckard is a Marlowe pastiche. This is the Marlowe."
335984,593,"Blade Runner 2049","Solaris","Villeneuve's grief-haunted, slow science fiction is Tarkovsky's, and this is the one you have not seen."
4995,1847,"Boogie Nights","The Long Goodbye","Altman again, and where the shaggy Los Angeles film comes from."
