movement,director
german-expressionism,Robert Wiene
german-expressionism,F.W. Murnau
german-expressionism,Fritz Lang
german-expressionism,G.W. Pabst
german-expressionism,Paul Leni
german-expressionism,Paul Wegener
soviet-montage,Sergei Eisenstein
soviet-montage,Dziga Vertov
soviet-montage,Vsevolod Pudovkin
soviet-montage,Alexander Dovzhenko
soviet-montage,Lev Kuleshov
soviet-montage,Esfir Shub
french-impressionism,Abel Gance
french-impressionism,Jean Epstein
french-impressionism,Germaine Dulac
french-impressionism,Marcel L'Herbier
french-impressionism,Louis Delluc
surrealism,Luis Buñuel
surrealism,Jan Švankmajer
surrealism,Walerian Borowczyk
surrealism,Alejandro Jodorowsky
surrealism,Maya Deren
surrealism,Jean Cocteau
screwball-comedy,Howard Hawks
screwball-comedy,Frank Capra
screwball-comedy,Preston Sturges
screwball-comedy,Leo McCarey
screwball-comedy,George Cukor
screwball-comedy,Gregory La Cava
screwball-comedy,Mitchell Leisen
hollywood-musical,Vincente Minnelli
hollywood-musical,Stanley Donen
hollywood-musical,Busby Berkeley
hollywood-musical,Gene Kelly
hollywood-musical,Charles Walters
hollywood-musical,George Sidney
hollywood-musical,Rouben Mamoulian
film-noir,Billy Wilder
film-noir,Otto Preminger
film-noir,Robert Siodmak
film-noir,Jacques Tourneur
film-noir,Edward Dmytryk
film-noir,Anthony Mann
film-noir,Nicholas Ray
film-noir,Jules Dassin
film-noir,Robert Aldrich
film-noir,Joseph H. Lewis
film-noir,John Huston
film-noir,Fritz Lang
film-noir,Orson Welles
prewar-japanese,Yasujirō Ozu
prewar-japanese,Kenji Mizoguchi
prewar-japanese,Mikio Naruse
prewar-japanese,Sadao Yamanaka
prewar-japanese,Hiroshi Shimizu
italian-neorealism,Roberto Rossellini
italian-neorealism,Vittorio De Sica
italian-neorealism,Luchino Visconti
italian-neorealism,Giuseppe De Santis
italian-neorealism,Alberto Lattuada
japanese-golden-age,Akira Kurosawa
japanese-golden-age,Yasujirō Ozu
japanese-golden-age,Kenji Mizoguchi
japanese-golden-age,Mikio Naruse
japanese-golden-age,Masaki Kobayashi
japanese-golden-age,Keisuke Kinoshita
japanese-golden-age,Kon Ichikawa
japanese-golden-age,Hiroshi Inagaki
mexican-golden-age,Emilio Fernández
mexican-golden-age,Luis Buñuel
mexican-golden-age,Roberto Gavaldón
mexican-golden-age,Ismael Rodríguez
soviet-thaw,Mikhail Kalatozov
soviet-thaw,Grigoriy Chukhray
soviet-thaw,Sergei Bondarchuk
soviet-thaw,Marlen Khutsiev
soviet-thaw,Larisa Shepitko
french-new-wave,Jean-Luc Godard
french-new-wave,François Truffaut
french-new-wave,Claude Chabrol
french-new-wave,Éric Rohmer
french-new-wave,Jacques Rivette
french-new-wave,Agnès Varda
french-new-wave,Alain Resnais
french-new-wave,Chris Marker
french-new-wave,Jacques Demy
french-new-wave,Louis Malle
british-new-wave,Tony Richardson
british-new-wave,Karel Reisz
british-new-wave,Lindsay Anderson
british-new-wave,John Schlesinger
british-new-wave,Jack Clayton
polish-film-school,Andrzej Wajda
polish-film-school,Andrzej Munk
polish-film-school,Jerzy Kawalerowicz
polish-film-school,Roman Polanski
polish-film-school,Wojciech Has
italian-modernism,Michelangelo Antonioni
italian-modernism,Federico Fellini
italian-modernism,Pier Paolo Pasolini
italian-modernism,Bernardo Bertolucci
italian-modernism,Marco Bellocchio
italian-modernism,Ermanno Olmi
japanese-new-wave,Nagisa Oshima
japanese-new-wave,Shohei Imamura
japanese-new-wave,Seijun Suzuki
japanese-new-wave,Hiroshi Teshigahara
japanese-new-wave,Masahiro Shinoda
japanese-new-wave,Yoshishige Yoshida
japanese-new-wave,Kaneto Shindo
cinema-novo,Glauber Rocha
cinema-novo,Nelson Pereira dos Santos
cinema-novo,Ruy Guerra
cinema-novo,Joaquim Pedro de Andrade
third-cinema,Fernando Solanas
third-cinema,Octavio Getino
third-cinema,Jorge Sanjinés
third-cinema,Tomás Gutiérrez Alea
third-cinema,Miguel Littín
third-cinema,Patricio Guzmán
third-cinema,Humberto Solás
czechoslovak-new-wave,Miloš Forman
czechoslovak-new-wave,Věra Chytilová
czechoslovak-new-wave,Jiří Menzel
czechoslovak-new-wave,Jan Němec
czechoslovak-new-wave,Juraj Herz
czechoslovak-new-wave,Ivan Passer
czechoslovak-new-wave,Jaromil Jireš
czechoslovak-new-wave,František Vláčil
new-german-cinema,Werner Herzog
new-german-cinema,Rainer Werner Fassbinder
new-german-cinema,Wim Wenders
new-german-cinema,Volker Schlöndorff
new-german-cinema,Alexander Kluge
new-german-cinema,Margarethe von Trotta
new-german-cinema,Hans-Jürgen Syberberg
parallel-cinema,Satyajit Ray
parallel-cinema,Ritwik Ghatak
parallel-cinema,Mrinal Sen
parallel-cinema,Adoor Gopalakrishnan
parallel-cinema,Shyam Benegal
parallel-cinema,Guru Dutt
parallel-cinema,Mani Kaul
african-cinema,Ousmane Sembène
african-cinema,Djibril Diop Mambéty
african-cinema,Souleymane Cissé
african-cinema,Abderrahmane Sissako
african-cinema,Idrissa Ouedraogo
african-cinema,Med Hondo
african-cinema,Youssef Chahine
african-cinema,Gaston Kaboré
african-cinema,Mahamat-Saleh Haroun
spaghetti-western,Sergio Leone
spaghetti-western,Sergio Corbucci
spaghetti-western,Sergio Sollima
spaghetti-western,Damiano Damiani
spaghetti-western,Giulio Petroni
giallo,Mario Bava
giallo,Dario Argento
giallo,Lucio Fulci
giallo,Sergio Martino
giallo,Umberto Lenzi
new-hollywood,Francis Ford Coppola
new-hollywood,Martin Scorsese
new-hollywood,Robert Altman
new-hollywood,Hal Ashby
new-hollywood,William Friedkin
new-hollywood,Peter Bogdanovich
new-hollywood,Sam Peckinpah
new-hollywood,Arthur Penn
new-hollywood,Mike Nichols
new-hollywood,Terrence Malick
new-hollywood,Bob Rafelson
new-hollywood,John Cassavetes
new-hollywood,Dennis Hopper
new-hollywood,Brian De Palma
soviet-poetic-cinema,Andrei Tarkovsky
soviet-poetic-cinema,Sergei Parajanov
soviet-poetic-cinema,Elem Klimov
soviet-poetic-cinema,Larisa Shepitko
soviet-poetic-cinema,Aleksandr Askoldov
soviet-poetic-cinema,Otar Iosseliani
iranian-new-wave,Abbas Kiarostami
iranian-new-wave,Jafar Panahi
iranian-new-wave,Asghar Farhadi
iranian-new-wave,Mohsen Makhmalbaf
iranian-new-wave,Samira Makhmalbaf
iranian-new-wave,Dariush Mehrjui
iranian-new-wave,Sohrab Shahid Saless
iranian-new-wave,Bahram Beizai
iranian-new-wave,Amir Naderi
iranian-new-wave,Majid Majidi
cinema-of-moral-anxiety,Krzysztof Kieślowski
cinema-of-moral-anxiety,Krzysztof Zanussi
cinema-of-moral-anxiety,Agnieszka Holland
cinema-of-moral-anxiety,Feliks Falk
hong-kong-new-wave,Tsui Hark
hong-kong-new-wave,Ann Hui
hong-kong-new-wave,Wong Kar-Wai
hong-kong-new-wave,Stanley Kwan
hong-kong-new-wave,Patrick Tam
hong-kong-new-wave,Allen Fong
hong-kong-new-wave,John Woo
hong-kong-new-wave,Johnnie To
taiwanese-new-wave,Hou Hsiao-Hsien
taiwanese-new-wave,Edward Yang
taiwanese-new-wave,Tsai Ming-liang
taiwanese-new-wave,Ang Lee
fifth-generation,Zhang Yimou
fifth-generation,Chen Kaige
fifth-generation,Tian Zhuangzhuang
fifth-generation,Huang Jianxin
american-independent,Jim Jarmusch
american-independent,Joel Coen
american-independent,Ethan Coen
american-independent,Steven Soderbergh
american-independent,Richard Linklater
american-independent,Todd Haynes
american-independent,Gus Van Sant
american-independent,Hal Hartley
american-independent,Quentin Tarantino
american-independent,Paul Thomas Anderson
american-independent,Wes Anderson
american-independent,David Lynch
american-independent,Kelly Reichardt
american-independent,John Sayles
american-independent,Spike Lee
cinema-du-look,Luc Besson
cinema-du-look,Jean-Jacques Beineix
cinema-du-look,Leos Carax
dogme-95,Lars von Trier
dogme-95,Thomas Vinterberg
dogme-95,Søren Kragh-Jacobsen
dogme-95,Kristian Levring
dogme-95,Harmony Korine
banlieue-cinema,Mathieu Kassovitz
banlieue-cinema,Ladj Ly
banlieue-cinema,Mati Diop
banlieue-cinema,Jacques Audiard
korean-new-wave,Bong Joon Ho
korean-new-wave,Park Chan-wook
korean-new-wave,Lee Chang-dong
korean-new-wave,Kim Ki-duk
korean-new-wave,Hong Sang-soo
korean-new-wave,Kim Jee-woon
korean-new-wave,Na Hong-jin
korean-new-wave,Im Kwon-taek
korean-new-wave,Ryoo Seung-wan
new-french-extremity,Gaspar Noé
new-french-extremity,Claire Denis
new-french-extremity,Bruno Dumont
new-french-extremity,Catherine Breillat
new-french-extremity,Alexandre Aja
new-french-extremity,Pascal Laugier
new-french-extremity,Marina de Van
romanian-new-wave,Cristian Mungiu
romanian-new-wave,Cristi Puiu
romanian-new-wave,Corneliu Porumboiu
romanian-new-wave,Radu Muntean
romanian-new-wave,Radu Jude
poetic-realism,Jean Renoir
poetic-realism,Marcel Carne
poetic-realism,Julien Duvivier
poetic-realism,Jean Vigo
poetic-realism,Jean Gremillon
poetic-realism,Jacques Feyder
british-classical,Michael Powell
british-classical,Emeric Pressburger
british-classical,David Lean
british-classical,Carol Reed
british-classical,Alexander Mackendrick
british-classical,Robert Hamer
british-classical,Charles Crichton
slow-cinema,Bela Tarr
slow-cinema,Chantal Akerman
slow-cinema,Apichatpong Weerasethakul
slow-cinema,Tsai Ming-liang
slow-cinema,Carlos Reygadas
slow-cinema,Lav Diaz
slow-cinema,Lisandro Alonso
slow-cinema,Aleksandr Sokurov
slow-cinema,Pedro Costa
slow-cinema,Nuri Bilge Ceylan
film-noir,Douglas Sirk
film-noir,Max Ophuls
screwball-comedy,Ernst Lubitsch
hollywood-musical,Michael Curtiz
italian-modernism,Luchino Visconti
cinema-of-moral-anxiety,Andrzej Wajda
cinema-of-moral-anxiety,Janusz Kijowski
cinema-of-moral-anxiety,Wojciech Marczewski
cinema-of-moral-anxiety,Ryszard Bugajski
cinema-of-moral-anxiety,Radoslaw Piwowarski
cinema-of-moral-anxiety,Marcel Lozinski
