slug,name,period_start,period_end,region,note,sort_order,auto_rule,rule_countries
silent-era,Silent era,1895,1929,Global,Everything before synchronised sound. Zero films watched.,10,period,
german-expressionism,German Expressionism,1919,1931,Germany,"Caligari, Metropolis, Nosferatu. The lineage behind Blade Runner.",20,directors,
soviet-montage,Soviet Montage,1924,1935,Soviet Union,"Eisenstein, Vertov, Pudovkin. Where editing theory comes from.",30,directors,
french-impressionism,French Impressionism,1918,1930,France,"Gance, Epstein, Dulac. Silent avant-garde.",40,directors,
surrealism,Surrealism,1928,1990,Europe,Bunuel and Dali through to Svankmajer and Borowczyk.,50,directors,
pre-code-hollywood,Pre-Code Hollywood,1930,1934,United States,Before the Production Code was enforced.,60,period,US
classical-hollywood,Classical Hollywood,1930,1960,United States,"The studio system at full power, through to the end of the Code era.",70,period,US
screwball-comedy,Screwball comedy,1934,1942,United States,"Hawks, Capra, Sturges, Cukor.",80,directors,
hollywood-musical,Hollywood musical,1929,1960,United States,"Berkeley, the Freed Unit, Donen and Kelly.",90,directors,
poetic-realism,French poetic realism,1934,1945,France,"Renoir, Carne, Vigo. The tradition the New Wave defined itself against.",95,directors,
film-noir,Film noir,1940,1958,United States,"The classical noir cycle, not neo-noir.",100,directors,
prewar-japanese,Prewar and wartime Japanese,1930,1945,Japan,"Ozu, Mizoguchi, Naruse before 1945. Zero films watched.",110,period,JP
italian-neorealism,Italian Neorealism,1943,1952,Italy,"Rossellini, De Sica, Visconti. Zero films watched.",120,directors,
japanese-golden-age,Japanese Golden Age,1950,1965,Japan,"Kurosawa, Kobayashi, Ozu and Mizoguchi's late work.",130,directors,
mexican-golden-age,Mexican Golden Age,1936,1959,Mexico,"Fernandez, Figueroa, and Bunuel's Mexican period.",140,directors,
soviet-thaw,Soviet Thaw,1956,1968,Soviet Union,"Kalatozov, Chukhray, Tarkovsky's first features.",150,directors,
french-new-wave,French New Wave,1958,1968,France,"Godard, Truffaut, Rohmer, Chabrol, plus the Left Bank.",160,directors,
british-new-wave,British New Wave,1959,1965,United Kingdom,"Kitchen sink realism. Richardson, Reisz, Anderson.",170,directors,
british-classical,British classical,1935,1965,United Kingdom,"Powell and Pressburger, Lean, Reed, the Ealing comedies.",175,directors,
polish-film-school,Polish Film School,1955,1963,Poland,"Wajda, Munk, early Polanski.",180,directors,
italian-modernism,Postwar Italian modernism,1958,1976,Italy,"Antonioni, Fellini, Pasolini, late Visconti.",190,directors,
japanese-new-wave,Japanese New Wave,1959,1976,Japan,"Oshima, Imamura, Suzuki, Teshigahara.",200,directors,
cinema-novo,Cinema Novo,1960,1975,Brazil,"Rocha, dos Santos. Zero films watched.",210,directors,
third-cinema,Third Cinema,1960,1980,Latin America,"Solanas, Getino, Sanjines, Alea. Zero films watched.",220,directors,
czechoslovak-new-wave,Czechoslovak New Wave,1962,1970,Czechoslovakia,"Forman, Chytilova, Menzel, Nemec, Herz.",230,directors,
new-german-cinema,New German Cinema,1962,1982,West Germany,"Herzog, Fassbinder, Wenders, Schlondorff.",240,directors,
parallel-cinema,Indian Parallel Cinema,1952,1995,India,"Ray, Ghatak, Sen, Adoor. Zero films watched.",250,directors,
african-cinema,Postcolonial African cinema,1966,2025,Africa,"Sembene, Cisse, Mambety, Sissako. Zero films watched.",260,directors,
spaghetti-western,Spaghetti Western,1964,1976,Italy,"Leone, Corbucci, Sollima.",270,directors,
giallo,Giallo,1963,1982,Italy,"Bava, Argento, Fulci.",280,directors,
new-hollywood,New Hollywood,1967,1980,United States,"The director-driven studio era, Bonnie and Clyde to Heaven's Gate.",290,directors,
soviet-poetic-cinema,Soviet poetic cinema,1962,1988,Soviet Union,"Tarkovsky, Paradjanov, Klimov, Askoldov.",300,directors,
iranian-new-wave,Iranian New Wave,1969,2025,Iran,"Kiarostami, Panahi, Farhadi, Makhmalbaf. Zero films watched.",310,directors,
cinema-of-moral-anxiety,Cinema of Moral Anxiety,1976,1981,Poland,"Kieslowski, Zanussi, Holland.",320,directors,
hong-kong-new-wave,Hong Kong New Wave,1979,2000,Hong Kong,"Tsui Hark and Ann Hui, then Wong Kar-wai's second wave.",330,directors,
taiwanese-new-wave,Taiwanese New Wave,1982,2007,Taiwan,"Hou Hsiao-hsien, Edward Yang, Tsai Ming-liang. Zero films watched.",340,directors,
fifth-generation,Fifth Generation,1984,2002,China,"Zhang Yimou, Chen Kaige, Tian Zhuangzhuang.",350,directors,
american-independent,American independent,1984,2005,United States,"Jarmusch, the Coens, Sundance, Linklater, early Anderson.",360,directors,
cinema-du-look,Cinema du look,1981,1995,France,"Besson, Beineix, Carax.",370,directors,
dogme-95,Dogme 95,1995,2005,Denmark,"Von Trier, Vinterberg. Zero films watched.",380,directors,
banlieue-cinema,Banlieue cinema,1995,2025,France,"Kassovitz, Ly, Diop.",390,directors,
korean-new-wave,Korean New Wave,1996,2025,South Korea,"Bong, Park, Lee Chang-dong, Kim Jee-woon, Na Hong-jin.",400,directors,
slow-cinema,Slow cinema,1975,2025,Global,"Tarr, Akerman, Apichatpong, Tsai. Duration as the subject.",405,directors,
new-french-extremity,New French Extremity,1998,2012,France,"Noe, Denis, Aja, Laugier. Zero films watched.",410,directors,
romanian-new-wave,Romanian New Wave,2005,2018,Romania,"Mungiu, Puiu, Porumboiu. Zero films watched.",420,directors,
