title,year,country,runtime,votes,sources,list_count,on_watchlist,tspdt_rank,directors,movements,tmdb
"Citizen Kane","1941","US","119","6210","canon,collection,auteur","3","0","1","Orson Welles","Classical Hollywood; Film noir","https://www.themoviedb.org/movie/15"
"Tokyo Story","1953","JP","137","1258","canon,collection,auteur,lineage","4","0","4","Yasujirō Ozu","Japanese Golden Age","https://www.themoviedb.org/movie/18148"
"The Rules of the Game","1939","FR","110","678","canon,collection,auteur","3","0","5","Jean Renoir","French poetic realism","https://www.themoviedb.org/movie/776"
"8½","1963","IT","139","2584","canon,collection,auteur,lineage","4","0","7","Federico Fellini","Postwar Italian modernism","https://www.themoviedb.org/movie/422"
"Sunrise: A Song of Two Humans","1927","US","94","926","canon,auteur,lineage","3","0","8","F. W. Murnau","German Expressionism; Silent era","https://www.themoviedb.org/movie/631"
"The Searchers","1956","US","119","1621","canon,lineage","2","0","9","John Ford","Classical Hollywood","https://www.themoviedb.org/movie/3114"
"Singin' in the Rain","1952","US","103","3599","canon,auteur,lineage","3","0","11","Stanley Donen; Gene Kelly","Classical Hollywood; Hollywood musical","https://www.themoviedb.org/movie/872"
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","1976","FR","202","410","canon,auteur","2","0","12","Chantal Akerman","Slow cinema","https://www.themoviedb.org/movie/44012"
"Bicycle Thieves","1948","IT","89","2738","canon,collection,auteur,lineage","4","0","15","Vittorio De Sica","Italian Neorealism","https://www.themoviedb.org/movie/5156"
"Breathless","1960","FR","90","2084","canon,collection,auteur,lineage","4","0","18","Jean-Luc Godard","French New Wave","https://www.themoviedb.org/movie/269"
"The Passion of Joan of Arc","1928","FR","81","1123","canon,collection,lineage","3","0","19","Carl Theodor Dreyer","Silent era","https://www.themoviedb.org/movie/780"
"Battleship Potemkin","1925","SU","75","1332","canon,regional,auteur,lineage","4","0","20","Sergei Eisenstein","Silent era; Soviet Montage","https://www.themoviedb.org/movie/643"
"L'Atalante","1934","FR","88","477","canon,collection,auteur","3","0","21","Jean Vigo","French poetic realism","https://www.themoviedb.org/movie/43904"
"Man with a Movie Camera","1929","SU","68","823","canon,regional,auteur,lineage","4","0","22","Dziga Vertov","Silent era; Soviet Montage","https://www.themoviedb.org/movie/26317"
"Mirror","1975","SU","107","1118","canon,collection,regional,auteur","4","1","23","Andrei Tarkovsky","Soviet poetic cinema","https://www.themoviedb.org/movie/1396"
"Rashomon","1950","JP","88","2595","canon,collection,auteur,lineage","4","0","25","Akira Kurosawa","Japanese Golden Age","https://www.themoviedb.org/movie/548"
"City Lights","1931","US","87","2531","canon,collection,lineage","3","0","26","Charlie Chaplin","Classical Hollywood; Pre-Code Hollywood","https://www.themoviedb.org/movie/901"
"The 400 Blows","1959","FR","99","2380","canon,collection,auteur,lineage","4","0","27","François Truffaut","French New Wave","https://www.themoviedb.org/movie/147"
"Andrei Rublev","1966","SU","183","973","canon,collection,regional,auteur,lineage","5","1","28","Andrei Tarkovsky","Soviet poetic cinema","https://www.themoviedb.org/movie/895"
"The Godfather Part II","1974","US","202","14288","canon,auteur","2","0","30","Francis Ford Coppola","New Hollywood","https://www.themoviedb.org/movie/240"
"Some Like It Hot","1959","US","123","3985","canon,collection","2","0","31","Billy Wilder","Classical Hollywood","https://www.themoviedb.org/movie/239"
"Au Hasard Balthazar","1966","FR","96","524","canon,collection","2","0","32","Robert Bresson",,"https://www.themoviedb.org/movie/20108"
"La Dolce Vita","1960","IT","174","2066","canon,collection,auteur","3","0","33","Federico Fellini","Postwar Italian modernism","https://www.themoviedb.org/movie/439"
"Ordet","1955","DK","125","426","canon,collection","2","0","34","Carl Theodor Dreyer",,"https://www.themoviedb.org/movie/48035"
"Raging Bull","1980","US","129","4878","canon,collection,auteur","3","0","35","Martin Scorsese","New Hollywood","https://www.themoviedb.org/movie/1578"
"Casablanca","1943","US","102","6204","canon,auteur","2","0","37","Michael Curtiz","Classical Hollywood; Hollywood musical","https://www.themoviedb.org/movie/289"
"L'Avventura","1960","IT","144","769","canon,collection,auteur,lineage","4","0","38","Michelangelo Antonioni","Postwar Italian modernism","https://www.themoviedb.org/movie/5165"
"Rear Window","1954","US","113","7341","canon","1","0","40","Alfred Hitchcock","Classical Hollywood","https://www.themoviedb.org/movie/567"
"Sunset Boulevard","1950","US","110","3012","canon,auteur","2","0","41","Billy Wilder","Classical Hollywood; Film noir","https://www.themoviedb.org/movie/599"
"Touch of Evil","1958","US","111","1640","canon,auteur,lineage","3","0","42","Orson Welles","Classical Hollywood; Film noir","https://www.themoviedb.org/movie/1480"
"Barry Lyndon","1975","US","188","3271","canon,collection","2","1","43","Stanley Kubrick",,"https://www.themoviedb.org/movie/3175"
"Contempt","1963","FR","103","989","canon,collection,auteur","3","0","44","Jean-Luc Godard","French New Wave","https://www.themoviedb.org/movie/266"
"PlayTime","1967","FR","115","695","canon,collection","2","0","45","Jacques Tati",,"https://www.themoviedb.org/movie/10227"
"Pather Panchali","1955","IN","125","505","canon,collection,regional,auteur,lineage","5","0","46","Satyajit Ray","Indian Parallel Cinema","https://www.themoviedb.org/movie/5801"
"Close-Up","1990","IR","98","458","canon,collection,regional,auteur,lineage","5","0","47","Abbas Kiarostami","Iranian New Wave","https://www.themoviedb.org/movie/30017"
"Lawrence of Arabia","1962","GB","228","3562","canon,auteur","2","1","48","David Lean","British classical","https://www.themoviedb.org/movie/947"
"The General","1926","US","79","1451","canon,lineage","2","0","50","Buster Keaton; Clyde Bruckman","Silent era","https://www.themoviedb.org/movie/961"
"Modern Times","1936","US","87","4172","canon,collection","2","0","51","Charlie Chaplin","Classical Hollywood","https://www.themoviedb.org/movie/3082"
"Beau Travail","2000","FR","93","376","canon,collection,auteur","3","0","52","Claire Denis","New French Extremity","https://www.themoviedb.org/movie/14626"
"M","1931","DE","110","2530","canon,collection,auteur","3","0","53","Fritz Lang","German Expressionism","https://www.themoviedb.org/movie/832"
"The Third Man","1949","GB","105","2169","canon,collection,auteur","3","0","54","Carol Reed","British classical","https://www.themoviedb.org/movie/1092"
"Late Spring","1949","JP","108","493","canon,collection,lineage","3","0","55","Yasujirō Ozu",,"https://www.themoviedb.org/movie/20530"
"The Apartment","1960","US","126","2765","canon","1","0","56","Billy Wilder","Classical Hollywood","https://www.themoviedb.org/movie/284"
"North by Northwest","1959","US","137","4624","canon","1","0","57","Alfred Hitchcock","Classical Hollywood","https://www.themoviedb.org/movie/213"
"Ugetsu","1953","JP","96","657","canon,collection,auteur,lineage","4","0","58","Kenji Mizoguchi","Japanese Golden Age","https://www.themoviedb.org/movie/14696"
"The Battle of Algiers","1966","IT","122","924","canon,collection,lineage","3","0","60","Gillo Pontecorvo",,"https://www.themoviedb.org/movie/17295"
"Grand Illusion","1937","FR","114","795","canon,collection,auteur,lineage","4","0","61","Jean Renoir","French poetic realism","https://www.themoviedb.org/movie/777"
"Wild Strawberries","1957","SE","91","1850","canon,collection","2","1","62","Ingmar Bergman",,"https://www.themoviedb.org/movie/614"
"Rio Bravo","1959","US","141","1291","canon","1","0","63","Howard Hawks","Classical Hollywood","https://www.themoviedb.org/movie/301"
"Fanny and Alexander","1982","DE","188","907","canon","1","0","64","Ingmar Bergman",,"https://www.themoviedb.org/movie/5961"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","GB","95","6305","canon,collection","2","1","65","Stanley Kubrick",,"https://www.themoviedb.org/movie/935"
"Shoah","1985","FR","566","227","canon,collection","2","0","66","Claude Lanzmann",,"https://www.themoviedb.org/movie/42044"
"Chinatown","1974","US","130","4384","canon","1","0","68","Roman Polanski",,"https://www.themoviedb.org/movie/829"
"Journey to Italy","1954","IT","85","341","canon,collection","2","0","69","Roberto Rossellini",,"https://www.themoviedb.org/movie/2748"
"Do the Right Thing","1989","US","120","2065","canon,collection,auteur,lineage","4","0","71","Spike Lee","American independent","https://www.themoviedb.org/movie/925"
"Metropolis","1927","DE","148","3183","canon,auteur,lineage","3","0","72","Fritz Lang","German Expressionism; Silent era","https://www.themoviedb.org/movie/19"
"A Woman Under the Influence","1974","US","155","575","canon,collection,auteur,lineage","4","0","73","John Cassavetes","New Hollywood","https://www.themoviedb.org/movie/29845"
"Children of Paradise","1945","FR","190","466","canon,collection,auteur","3","0","74","Marcel Carné","French poetic realism","https://www.themoviedb.org/movie/2457"
"La Strada","1954","IT","115","1197","canon,collection","2","0","75","Federico Fellini",,"https://www.themoviedb.org/movie/405"
"The Leopard","1963","IT","186","974","canon,collection,auteur","3","0","76","Luchino Visconti","Postwar Italian modernism","https://www.themoviedb.org/movie/1040"
"Amarcord","1973","IT","123","1238","canon,collection,auteur","3","0","77","Federico Fellini","Postwar Italian modernism","https://www.themoviedb.org/movie/7857"
"It's a Wonderful Life","1946","US","131","5044","canon","1","0","78","Frank Capra","Classical Hollywood","https://www.themoviedb.org/movie/1585"
"The Wild Bunch","1969","US","145","1375","canon,auteur","2","0","79","Sam Peckinpah","New Hollywood","https://www.themoviedb.org/movie/576"
"Viridiana","1962","MX","90","565","canon,collection,regional,auteur","4","0","81","Luis Buñuel","Surrealism","https://www.themoviedb.org/movie/4497"
