lb_uri,tmdb_id,note,title
https://boxd.it/2bc6,81,"TMDB's English title for this record is the butchered US cut 'Warriors of the Wind'; original_title confirms it is the right film","Nausicaä of the Valley of the Wind (1984)"
https://boxd.it/eRzg,420634,"Letterboxd uses the 2016 festival year, TMDB the 2018 release","Terrifier (2016)"
https://boxd.it/1v6K,25793,"TMDB carries the full title, 'Precious: Based on the Novel Push by Sapphire'","Precious (2009)"
https://boxd.it/uAKS,812583,"TMDB carries the full title, 'Wake Up Dead Man: A Knives Out Mystery'","Wake Up Dead Man (2025)"
https://boxd.it/Ljok,,"short, not on TMDB","David Lynch Cooks Quinoa (2007)"
https://boxd.it/BOvw,,"not findable on TMDB, needs a manual look","The Legend of Pipi (2022)"
https://boxd.it/ptEI,,"TV series, not a film","Neon Genesis Evangelion (1995)"
https://boxd.it/qL38,,"OVA series, not a film","Gunbuster (1988)"
https://boxd.it/qfqk,,"OVA series, not a film","Record of Lodoss War (1990)"
https://boxd.it/ptES,,"TV series, not a film","Cowboy Bebop (1998)"
https://boxd.it/hYQE,,"TV series, not a film","Serial Experiments Lain (1998)"
https://boxd.it/kfJ0,,"TV series, not a film","The Haunting of Hill House (2018)"
https://boxd.it/s1Ym,,"TV miniseries, not a film","The Queen's Gambit (2020)"
https://boxd.it/qqTW,,"TV docuseries, not a film","The Gene: An Intimate History (2020)"
https://boxd.it/ppHI,,"TV miniseries, not a film","Devs (2020)"
https://boxd.it/xo7A,,"TV docuseries, not a film","The Beatles: Get Back (2021)"
https://boxd.it/yXpw,,"TV docuseries, not a film","The Green Planet (2022)"
